time,lat,lon,min_slp_hpa
2026-07-10_18:00:00,25.915504455566406,122.3628158569336,990.465234375
2026-07-10_21:00:00,24.820953369140625,124.02847290039062,966.3994755855979
2026-07-11_00:00:00,25.09551239013672,124.63416290283203,956.6490625
2026-07-11_03:00:00,26.187576293945312,123.87704467773438,956.823515625
2026-07-11_06:00:00,26.459022521972656,123.11993408203125,957.59640625
2026-07-11_09:00:00,26.86498260498047,122.66565704345703,958.32
2026-07-11_12:00:00,27.538368225097656,121.90853881835938,960.34046875
2026-07-11_15:00:00,27.94042205810547,121.30284881591797,962.5128001067131
2026-07-11_18:00:00,28.47418975830078,120.84857940673828,966.1858835656452
2026-07-11_21:00:00,29.005264282226562,120.24288177490234,967.875892379421
2026-07-12_00:00:00,29.26978302001953,119.6371841430664,970.6521951612871
2026-07-12_03:00:00,29.66529083251953,119.33434295654297,974.2695527969859
2026-07-12_06:00:00,30.059242248535156,118.88006591796875,976.7662807308716
2026-07-12_09:00:00,30.451637268066406,118.57722473144531,978.206646643044
2026-07-12_12:00:00,30.712356567382812,118.42579650878906,979.7820883243962
2026-07-12_15:00:00,30.972366333007812,118.27437591552734,981.2453057885879
2026-07-12_18:00:00,31.36107635498047,118.12295532226562,981.8098233152426
2026-07-12_21:00:00,31.876853942871094,118.12295532226562,982.701547536751
2026-07-13_00:00:00,32.261802673339844,117.97152709960938,983.9541133985074
2026-07-13_03:00:00,32.51753234863281,117.97152709960938,984.8672237080553
2026-07-13_06:00:00,32.89976501464844,117.82010650634766,984.24949530383
2026-07-13_09:00:00,33.1536865234375,117.6686782836914,984.0726761594839
2026-07-13_12:00:00,33.40686798095703,117.97152709960938,984.4600926024451
2026-07-13_15:00:00,33.91100311279297,118.12295532226562,985.4091195575029
2026-07-13_18:00:00,34.41218566894531,118.57722473144531,985.5432814776802
2026-07-13_21:00:00,35.158363342285156,119.18291473388672,985.4380984935392
2026-07-14_00:00:00,35.774986267089844,119.6371841430664,985.3946595986747
2026-07-14_03:00:00,36.26487731933594,120.09146118164062,984.8456434042995
2026-07-14_06:00:00,36.75171661376953,120.54573059082031,984.1918869819775
2026-07-14_09:00:00,36.872955322265625,121.0,984.0522339178721
2026-07-14_12:00:00,37.71617126464844,122.51423645019531,985.5011608668474
2026-07-14_15:00:00,38.31266784667969,123.11993408203125,985.40984375
2026-07-14_18:00:00,38.31266784667969,123.72562408447266,984.723515625
2026-07-14_21:00:00,38.54991149902344,124.3313217163086,985.61515625
2026-07-15_00:00:00,38.54991149902344,125.39128112792969,987.4591559055423
2026-07-15_03:00:00,38.431365966796875,125.99697875976562,988.9621269195069
